Promoter,Promoter name,TF,TF name,Confidence,Expression
AT5G48930,HCT,AT4G22680,MYB85,2,x
AT5G48930,HCT,AT1G16490,MYB58,3,x
AT5G48930,HCT,AT5G26660,MYB86,1,x
AT5G48930,HCT,AT4G37260,MYB73,2,entire stele
AT5G48930,HCT,AT5G63790,NAC102,1,entire stele
AT5G48930,HCT,AT5G54680,ILR3,1,entire stele
AT5G48930,HCT,AT1G77450,NAC032,1,entire stele
AT5G48930,HCT,AT1G53910,RAP2.12,2,entire stele
AT5G48930,HCT,AT1G22640,MYB3,1,entire stele
AT5G48930,HCT,AT5G60850,OBP4,1,entire stele
AT5G48930,HCT,AT5G48150,PAT1,1,entire stele
AT5G48930,HCT,AT1G51600,ZML2,1,entire stele
AT5G48930,HCT,AT1G66230,MYB20,2,entire stele
AT5G48930,HCT,AT1G79180,MYB63,2,entire stele
AT5G48930,HCT,AT1G12610,DDF1,1,entire stele
AT5G48930,HCT,AT1G20910,AT1G20910,1,entire stele
AT5G60020,LAC17,AT3G28920,HB34,1,"p, x"
AT5G60020,LAC17,AT2G22840,GRF1,1,"p, x, cc"
AT5G60020,LAC17,AT1G44830,AT1G44830,1,"p, xpp, ppp, x, cc"
AT5G60020,LAC17,AT1G47870,ATE2F2,1,"xpp, ppp, x"
AT5G60020,LAC17,AT3G19290,ABF4,1,"xpp, ppp, x, cc"
AT5G60020,LAC17,AT2G21230,AT2G21230,1,"xpp, x, cc"
AT5G60020,LAC17,AT2G44730,AT2G44730,1,"ppp, x"
AT5G60020,LAC17,AT5G15210,HB30,1,x
AT5G60020,LAC17,AT3G60580,AT3G60580,1,x
AT5G60020,LAC17,AT4G37260,MYB73,1,entire stele
AT5G60020,LAC17,AT5G54680,ILR3,1,entire stele
AT5G60020,LAC17,AT1G24625,ZFP7,1,entire stele
AT5G60020,LAC17,AT1G76880,AT1G76880,1,entire stele
AT5G60020,LAC17,AT1G68920,AT1G68920,1,entire stele
AT5G60690,REV,AT4G28500,SND2,1,"p, x"
AT5G60690,REV,AT4G29230,ANAC075,1,"p, x"
AT5G60690,REV,AT2G22840,GRF1,1,"p, x, cc"
AT5G60690,REV,AT2G22850,bZIP6,1,"p, ppp, x, cc"
AT5G60690,REV,AT1G10480,ZFP5,1,"p, ppp, x, cc"
AT5G60690,REV,AT1G01260,AT1G01260,2,"p, ppp, x"
AT5G60690,REV,AT3G58070,GIS,1,"p, ppp, x"
AT5G60690,REV,AT5G10510,AIL6,2,"p, xpp, ppp, x, cc"
AT5G60690,REV,AT5G60120,TOE2,1,"p, xpp, x, cc"
AT5G60690,REV,AT1G30490,PHV,1,"p, xpp, ppp, x"
AT5G60690,REV,AT4G14770,TCX2,1,"p, xpp, ppp, x"
AT5G60690,REV,AT1G47870,ATE2F2,1,"xpp, ppp, x"
AT5G60690,REV,AT4G34610,BLH6,2,"xpp, ppp, x"
AT5G60690,REV,AT4G23980,ARF9,1,"xpp, ppp, x"
AT5G60690,REV,AT4G28140,AT4G28140,1,"ppp, x"
AT5G60690,REV,AT2G38340,DREB19,2,"ppp, x"
AT5G60690,REV,AT1G71930,VND7,2,x
AT5G60690,REV,AT3G21270,DOF2,2,x
AT5G60690,REV,AT5G66730,IDD1,2,entire stele
AT5G60690,REV,AT5G63790,ANAC102,2,entire stele
AT5G60690,REV,AT5G47640,NF-YB2,1,entire stele
AT5G60690,REV,AT3G16770,EBP,1,entire stele
AT5G60690,REV,AT1G77450,ANAC032,1,entire stele
AT5G60690,REV,AT1G21910,DREB26,2,entire stele
AT5G60690,REV,AT1G64620,AT1G64620,2,entire stele
AT5G60690,REV,AT1G61730,AT1G61730,2,entire stele
AT5G60690,REV,AT1G24625,ZFP7,2,entire stele
AT5G60690,REV,AT5G60850,OBP4,1,entire stele
AT5G60690,REV,AT2G26150,HSFA2,2,entire stele
AT5G60690,REV,AT5G60200,TMO6,2,entire stele
AT5G60690,REV,AT3G61850,DAG1,2,entire stele
AT5G60690,REV,AT3G12270,PRMT3,2,entire stele
AT5G60690,REV,AT1G12610,DDF1,2,entire stele
AT5G60690,REV,AT1G24030,AT1G24030,1,
AT5G60720,AT5G60720,AT3G28920,HB34,1,"p, x"
AT5G60720,AT5G60720,AT1G75240,HB33,2,"p, xpp, x, cc"
AT5G60720,AT5G60720,AT4G14770,TCX2,1,"p, xpp, ppp, x"
AT5G60720,AT5G60720,AT1G47870,ATE2F2,1,"xpp, ppp, x"
AT5G60720,AT5G60720,AT2G44730,AT2G44730,1,"ppp, x"
AT5G60720,AT5G60720,AT2G02540,HB21,1,x
AT5G60720,AT5G60720,AT5G15210,HB30,2,x
AT5G60720,AT5G60720,AT5G39760,HB23,2,x
AT5G60720,AT5G60720,AT5G63790,NAC102,2,entire stele
AT5G60720,AT5G60720,AT5G54680,ILR3,1,entire stele
AT5G60720,AT5G60720,AT1G71130,CRF8,1,entire stele
AT5G60720,AT5G60720,AT4G37790,HAT22,1,entire stele
AT5G60720,AT5G60720,AT1G12610,DDF1,1,entire stele
AT5G62380,VND6,AT4G14770,TCX2,1,"p, xpp, ppp, x"
AT5G62380,VND6,AT1G47870,ATE2F2,1,"xpp, ppp, x"
AT5G62380,VND6,AT2G44730,AT2G44730,1,"ppp, x"
AT5G62380,VND6,AT5G15210,HB30,1,x
AT5G62380,VND6,AT5G54680,ILR3,1,entire stele
AT5G62380,VND6,AT3G61850,DAG1,1,entire stele
AT5G62380,VND6,AT1G12610,DDF1,1,entire stele
AT1G47870,E2FC,AT2G44730,AT2G44730,2,"ppp, x"
AT1G47870,E2FC,AT5G61890,AT5G61890,2,entire stele
AT1G47870,E2FC,AT1G44830,AT1G44830,1,"p, xpp, ppp, x, cc"
AT1G47870,E2FC,AT1G61730,AT1G61730,2,entire stele
AT1G47870,E2FC,AT2G40950,BZIP17,1,entire stele
